Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.cdl.json	6338	-	0	0	0	0	0	0	5	93	0	0	0	0	0	0	0	1	0	0	97	87	0	0	0	4	0	3
fsh-generated/resources/Bundle-cdl-bundle-creation-note.json	6262	29	0	0	0	0	37	0	0	515	0	0	0	0	0	0	0	0	0	0	37	36	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ConsommateurContenu.json	7401	22	0	0	0	0	0	0	1	92	0	0	0	0	0	0	0	0	0	0	71	72	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-CreateurContenu.json	8592	21	1	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	106	70	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-GestionnaireCdL.json	8659	5	0	0	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	75	73	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-ConceptMap-mos-cdl.json	10060	5	0	0	0	0	0	0	1	140	0	0	0	0	0	0	0	1	0	0	60	709	0	0	0	2	0	0
fsh-generated/resources/Patient-0d920958-b596-4b91-af67-9bafc707820b.json	2057	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	19	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cdl-bundle-creation-note.json	8767	6	1	0	0	0	0	351	0	123	0	0	1	0	0	0	0	4	0	0	1145	3899	0	0	0	31	0	8
fsh-generated/resources/StructureDefinition-cdl-bundle-maj-note.json	8733	6	0	0	0	0	0	218	0	117	0	0	1	0	0	0	0	4	0	0	1141	2146	0	0	0	31	0	1
fsh-generated/resources/StructureDefinition-cdl-bundle-resultat-recherche-notes.json	7312	6	0	0	0	0	0	195	1	75	0	0	0	0	0	0	0	4	0	0	1185	1342	0	0	0	32	0	2
fsh-generated/resources/StructureDefinition-cdl-document-reference.json	8778	5	0	0	0	0	0	57	0	36	0	0	0	0	0	0	0	1	0	0	435	633	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-cdl-ext-is-emergency.json	1055	4	0	0	0	0	0	39	0	11	0	0	0	0	0	0	0	0	0	0	55	129	0	0	0	1	0	0
